ingredient_a,ingredient_b,reason,notice_no,product_rows
cyclosporine,rosuvastatin,"근육통, 근육약화, 근염, 때때로 횡문근 변성을 포함한 근육독성 촉진 가능",20230083,12225
felodipine,itraconazole,"Felodipine의 혈중농도 증가. 저혈압, 말초부종 같은 약물이상반응 발생 위험 증가, Itraconazole 투여 중 및 종료 후 2주 간 해당 성분 투여 금기",20190131,1406
ezetimibe,itraconazole,"근육병증, 횡문근융해증의 위험성 증가, Itraconazole 투여 중 및 종료 후 2주 간 해당 성분 투여 금기",20110110,23384
cyclosporine,telmisartan,"근육통, 근육약화, 근염, 때때로 횡문근 변성을 포함한 근육독성 촉진 가능",20230083,2130
amlodipine,cyclosporine,"근육통, 근육약화, 근염, 때때로 횡문근 변성을 포함한 근육독성 촉진 가능",20230083,2655
iohexol,teneligliptin,기능적 신부전에 의해 유산 산성증 촉진,20200061,14466
empagliflozin,iohexol,기능적 신부전에 의해 유산 산성증 촉진,20200061,27804
iohexol,metformin,기능적 신부전에 의해 유산 산성증 촉진,20200061,150696
iohexol,linagliptin,기능적 신부전에 의해 유산 산성증 촉진,20200061,17901
dapagliflozin,iohexol,기능적 신부전에 의해 유산 산성증 촉진,20200061,9984
dapagliflozin bis,iohexol,기능적 신부전에 의해 유산 산성증 촉진,20200061,1524
iohexol,sitagliptin,기능적 신부전에 의해 유산 산성증 촉진,20200061,44196
iohexol,rosuvastatin,기능적 신부전에 의해 유산 산성증 촉진,20200061,738
iohexol,lobeglitazone,기능적 신부전에 의해 유산 산성증 촉진,20200061,1254
meloxicam,methotrexate,신세뇨관에서 Methotrexate 배설이 지연되어 Methotrexate의 혈액학적 독성 증가,20110070,1440
posaconazole,rivaroxaban,Rivaroxaban의 혈중농도가 상승하여 출혈위험 증가,20250086,292
itraconazole,rivaroxaban,"Rivaroxaban의 혈중농도가 상승하여 출혈위험 증가, Itraconazole 투여 중 및 종료 후 2주 간 권장하지 않음.",20150021,10804
atorvastatin,itraconazole,"근육병증, 횡문근융해증 위험 증가 가능",20050017,46398
atazanavir,esomeprazole,아타자나비르의 혈중농도 감소,20230045,297
iohexol,vildagliptin,기능적 신부전에 의해 유산 산성증 촉진,20110188,3333
iopamidol,vildagliptin,기능성 신부전에 의한 유산산성증 촉진,20110188,1404
ezetimibe,posaconazole,근육병증의 위험 증가 가능,20170086,632
atorvastatin,cyclosporine,"근육통, 근육약화, 근염, 때때로 횡문근 변성을 포함한 근육독성 촉진 가능",20230083,9405
cobicistat,lansoprazole,아타자나비르의 혈중농도 감소,20230045,52
atazanavir,lansoprazole,아타자나비르의 혈중농도 감소,20230045,52
glimepiride,iodixanol,기능적 신부전에 의해 유산 산성증 촉진,20200061,852
glimepiride,iohexol,기능적 신부전에 의해 유산 산성증 촉진,20110188,9017
glimepiride,iomeprol,기능성 신부전에 의한 유산산성증 촉진,20110188,923
itraconazole,simvastatin,"근육병증, 횡문근융해증, 간효소이상 같은 약물이상반응 발생 위험 증가, Itraconazole 투여 중 및 종료 후 2주 간 해당 성분 투여 금기",20040002,8066
cyclosporine,ezetimibe,"근육통, 근육약화, 근염, 때때로 횡문근 변성을 포함한 근육독성 촉진 가능",20230083,7920
iopromide,metformin,기능적 신부전에 의해 유산 산성증 촉진,20200061,10773
iopamidol,metformin,기능적 신부전에 의해 유산 산성증 촉진,20200061,62244
iopamidol,sitagliptin,기능적 신부전에 의해 유산 산성증 촉진,20200061,18096
iomeprol,metformin,기능적 신부전에 의해 유산 산성증 촉진,20200061,15561
cyclosporine,pitavastatin,"근육통, 근육약화, 근염, 때때로 횡문근 변성을 포함한 근육독성 촉진 가능",20230083,2010
candesartan cilexetil,cyclosporine,"근육통, 근육약화, 근염, 때때로 횡문근 변성을 포함한 근육독성 촉진 가능",20230083,750
amlodipine,itraconazole,"근육병증, 횡문근융해증 위험 증가 가능",20230083,4810
clarithromycin,ezetimibe,근육병증의 위험 증가 가능,20170086,9735
clarithromycin,simvastatin,"근병증, 횡문근융해의 위험증가",20040002,19293
cyclosporine,simvastatin,"근육통, 근육약화, 근염, 때때로 횡문근 변성을 포함한 근육독성 촉진 가능",20230083,1635
alprazolam,itraconazole,"alprazolam의 혈장농도 증가, 수면 및 진정작용 증강 및 연장",20040002,2072
iohexol,saxagliptin,기능적 신부전에 의해 유산 산성증 촉진,20200061,246
dapagliflozin anhydrous lactose mixture,iohexol,기능적 신부전에 의해 유산 산성증 촉진,20200061,1905
atorvastatin,iohexol,기능적 신부전에 의해 유산 산성증 촉진,20200061,1107
iopamidol,linagliptin,기능적 신부전에 의해 유산 산성증 촉진,20200061,7436
empagliflozin,iopamidol,기능적 신부전에 의해 유산 산성증 촉진,20200061,11648
dapagliflozin citric acid,iopamidol,기능적 신부전에 의해 유산 산성증 촉진,20200061,1248
iopamidol,teneligliptin,기능적 신부전에 의해 유산 산성증 촉진,20200061,5928
dapagliflozin bis,iopamidol,기능적 신부전에 의해 유산 산성증 촉진,20200061,624
dapagliflozin anhydrous lactose mixture,iopamidol,기능적 신부전에 의해 유산 산성증 촉진,20200061,780
dapagliflozin,iopamidol,기능적 신부전에 의해 유산 산성증 촉진,20200061,4160
atorvastatin,iopamidol,기능적 신부전에 의해 유산 산성증 촉진,20200061,468
iopamidol,rosuvastatin,기능적 신부전에 의해 유산 산성증 촉진,20200061,312
evogliptin,iopamidol,기능적 신부전에 의해 유산 산성증 촉진,20200061,208
gemigliptin,iopamidol,기능적 신부전에 의해 유산 산성증 촉진,20200061,260
empagliflozin,iodixanol,기능적 신부전에 의해 유산 산성증 촉진,20200061,2688
iodixanol,teneligliptin,기능적 신부전에 의해 유산 산성증 촉진,20200061,1368
iodixanol,metformin,기능적 신부전에 의해 유산 산성증 촉진,20200061,14365
dapagliflozin,iodixanol,기능적 신부전에 의해 유산 산성증 촉진,20200061,960
iodixanol,linagliptin,기능적 신부전에 의해 유산 산성증 촉진,20200061,1716
gemigliptin,iodixanol,기능적 신부전에 의해 유산 산성증 촉진,20200061,60
iodixanol,sitagliptin,기능적 신부전에 의해 유산 산성증 촉진,20200061,4176
alfacalcidol,calcitriol,고칼슘혈증,20100278,287
ledipasvir,rosuvastatin,"로수바스타틴 농도를 현저하게 증가시킬 수 있으며, 이는 횡문근융해증을 포함하여 근육병증의 위험 증가",20170086,815
