원료명(I2710),매핑 성분,code,confidence
아라비아검(아카시아검),,,unmapped
베타카로틴,베타카로틴,beta_carotene,exact
비오틴,비오틴,biotin,exact
공액리놀레산,,,unmapped
가르시니아캄보지아 추출물,가르시니아,garcinia_cambogia,exact
대두이소플라본,이소플라본,isoflavone,exact
스쿠알렌,,,unmapped
은행잎 추출물,은행잎,ginkgo_biloba,exact
밀크씨슬(카르두스 마리아누스) 추출물,밀크씨슬,milk_thistle,likely
비타민 E,비타민 E,vitamin_e,exact
비타민 K,비타민 K,vitamin_k,exact
비타민 B1,티아민,thiamine,exact
비타민 B2,비타민 B2,vitamin_b2,exact
나이아신,나이아신,niacin,exact
판토텐산,,,unmapped
비타민 B6,비타민 B6,vitamin_b6,exact
엽산,엽산,folate,exact
비타민 B12,비타민 B12,vitamin_b12,exact
비타민 C,비타민 C,vitamin_c,exact
칼슘,칼슘,calcium,exact
마그네슘,마그네슘,magnesium,exact
철,,,unmapped
차전자피식이섬유,차전자피,psyllium,exact
알로에 겔,,,unmapped
영지버섯 자실체 추출물,,,unmapped
프락토올리고당,프리바이오틱스,prebiotics,exact
대두단백,,,unmapped
엽록소 함유 식물,,,unmapped
스피루리나,,,unmapped
클로렐라,,,unmapped
"글루코만난(곤약, 곤약만난)",,,unmapped
마늘,마늘,garlic,exact
홍경천 추출물,홍경천,rhodiola,exact
마리골드꽃추출물,루테인,lutein,exact
회화나무열매추출물,회화나무열매추출물,sophora_japonica_fruit_extract,exact
핑거루트추출분말(제2012-36호),,,unmapped
옻나무 추출분말(제2014-64호),,,unmapped
중쇄지방산(MCFA)함유 유지(제2014-6호),,,unmapped
보이차추출물(제2014-7호),,,unmapped
옥수수배아추출물(제2014-8호),,,unmapped
올리브잎주정추출물(제2014-9호),,,unmapped
감태추출물(제2015-6호),,,unmapped
L.plantarum IM76과 B.longum IM55 복합물(NVP1703)(제2019-28호),,,unmapped
까마귀쪽나무 열매 주정추출물(제2015-22호),,,unmapped
까마귀쪽나무 열매 주정추출물(제2015-23호),,,unmapped
석류추출물(제2015-28호),,,unmapped
포도씨 효소분해 추출 분말(제2013-9호),,,unmapped
이눌린/치커리추출물,이눌린,inulin,likely
비타민 A,비타민 A,vitamin_a,exact
비타민 D,비타민 D,vitamin_d,exact
프로바이오틱스,프로바이오틱스,probiotics,exact
구아바잎 추출물,,,unmapped
홍국,홍국,red_yeast_rice,exact
달맞이꽃종자 추출물,,,unmapped
포스파티딜세린,포스파티딜세린,phosphatidylserine,exact
테아닌,테아닌,l_theanine,exact
"엠에스엠(MSM, Methyl sulfonylmethane, 디메틸설폰)",MSM,msm,likely
구아검/구아검가수분해물,,,unmapped
보리식이섬유,,,unmapped
호로파종자식이섬유,,,unmapped
키토산/키토올리고당,,,unmapped
포도종자추출물(제2008-42호),,,unmapped
커피만노올리고당분말(제2009-15호),,,unmapped
